split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,posterior_entropy_final_mean,posterior_entropy_final_ci95,posterior_entropy_mean_mean,posterior_entropy_mean_ci95,near_true_branch_mass_final_mean,near_true_branch_mass_final_ci95,near_true_branch_mass_mean_mean,near_true_branch_mass_mean_ci95,branch_prediction_error_mean_mean,branch_prediction_error_mean_ci95,fallback_activations_mean,fallback_activations_ci95
adversarial_low_friction_heavy,robust_worst_case_mpc,0,20,0.1000,0.1349,0.1475,0.0184,0.6139,0.0478,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,1,20,0.1500,0.1606,0.1439,0.0230,0.6112,0.0561,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,2,20,0.0000,0.0000,0.1564,0.0158,0.5796,0.0458,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,3,20,0.0000,0.0000,0.1643,0.0122,0.5641,0.0351,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,4,20,0.0500,0.0980,0.1625,0.0167,0.5693,0.0503,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,5,20,0.0000,0.0000,0.1589,0.0125,0.5779,0.0360,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,6,20,0.0500,0.0980,0.1457,0.0139,0.5890,0.0363,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,7,20,0.0000,0.0000,0.1689,0.0155,0.5563,0.0424,,,,,,,,,,,0.0000,0.0000
combined_shift,adaptive_id_mpc,0,20,0.3500,0.2145,0.1050,0.0252,0.7326,0.0680,0.6923,0.0742,0.7180,0.0611,0.2999,0.0992,0.2837,0.0897,0.0660,0.0079,0.0000,0.0000
combined_shift,adaptive_id_mpc,1,20,0.4500,0.2237,0.0952,0.0243,0.7592,0.0601,0.7105,0.0618,0.7511,0.0513,0.2840,0.1106,0.2626,0.0954,0.0653,0.0064,0.0000,0.0000
combined_shift,adaptive_id_mpc,2,20,0.5000,0.2248,0.0809,0.0202,0.7849,0.0571,0.7112,0.0582,0.7295,0.0567,0.3147,0.0955,0.2960,0.0922,0.0646,0.0056,0.0000,0.0000
combined_shift,adaptive_id_mpc,3,20,0.4000,0.2203,0.0879,0.0198,0.7689,0.0511,0.7427,0.0568,0.7663,0.0539,0.2827,0.0934,0.2647,0.0861,0.0633,0.0088,0.0000,0.0000
combined_shift,adaptive_id_mpc,4,20,0.4500,0.2237,0.1079,0.0272,0.7194,0.0740,0.7595,0.0470,0.7708,0.0449,0.2493,0.0657,0.2436,0.0625,0.0612,0.0080,0.0000,0.0000
combined_shift,adaptive_id_mpc,5,20,0.4000,0.2203,0.0965,0.0244,0.7636,0.0537,0.7363,0.0562,0.7700,0.0497,0.2819,0.1037,0.2558,0.0917,0.0621,0.0071,0.0000,0.0000
combined_shift,adaptive_id_mpc,6,20,0.5000,0.2248,0.0896,0.0215,0.7668,0.0544,0.7114,0.0559,0.7221,0.0611,0.2823,0.0727,0.2620,0.0643,0.0651,0.0083,0.0000,0.0000
combined_shift,adaptive_id_mpc,7,20,0.3000,0.2061,0.1016,0.0223,0.7419,0.0574,0.7317,0.0525,0.7412,0.0479,0.1608,0.0833,0.1566,0.0798,0.0610,0.0059,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,0,20,0.4500,0.2237,0.1044,0.0268,0.7339,0.0722,0.6813,0.0672,0.6826,0.0687,0.3081,0.0894,0.2935,0.0780,0.0666,0.0069,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,1,20,0.4500,0.2237,0.1010,0.0262,0.7405,0.0675,0.7231,0.0534,0.7406,0.0512,0.2622,0.0837,0.2391,0.0740,0.0647,0.0081,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,2,20,0.4000,0.2203,0.0951,0.0214,0.7534,0.0571,0.7444,0.0440,0.7755,0.0373,0.2776,0.0795,0.2568,0.0687,0.0606,0.0042,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,3,20,0.4500,0.2237,0.1014,0.0225,0.7296,0.0632,0.7606,0.0614,0.7693,0.0592,0.2687,0.0881,0.2623,0.0868,0.0593,0.0064,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,4,20,0.4500,0.2237,0.0981,0.0274,0.7446,0.0734,0.7160,0.0608,0.7375,0.0505,0.2779,0.0750,0.2492,0.0651,0.0651,0.0072,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,5,20,0.3000,0.2061,0.1074,0.0236,0.7325,0.0531,0.7129,0.0660,0.7420,0.0582,0.2715,0.1030,0.2551,0.0940,0.0650,0.0104,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,6,20,0.2500,0.1947,0.1067,0.0229,0.7140,0.0666,0.7180,0.0579,0.7382,0.0597,0.3004,0.0672,0.2829,0.0628,0.0625,0.0068,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,7,20,0.2500,0.1947,0.1159,0.0191,0.7041,0.0512,0.7120,0.0786,0.7232,0.0778,0.1418,0.0654,0.1371,0.0584,0.0649,0.0087,0.0000,0.0000
combined_shift,branch_counterfactual_mpc_v5,0,20,0.3000,0.2061,0.1129,0.0245,0.7109,0.0668,0.6799,0.0748,0.6905,0.0652,0.3373,0.0941,0.3134,0.0843,0.0680,0.0071,0.9500,0.4377
combined_shift,branch_counterfactual_mpc_v5,1,20,0.3500,0.2145,0.0988,0.0237,0.7452,0.0620,0.7191,0.0609,0.7372,0.0617,0.2470,0.0822,0.2264,0.0733,0.0662,0.0079,1.3000,0.4047
combined_shift,branch_counterfactual_mpc_v5,2,20,0.3500,0.2145,0.0918,0.0215,0.7593,0.0599,0.7331,0.0501,0.7550,0.0480,0.2807,0.0849,0.2638,0.0758,0.0627,0.0069,1.3000,0.3789
combined_shift,branch_counterfactual_mpc_v5,3,20,0.4000,0.2203,0.0968,0.0264,0.7445,0.0695,0.7374,0.0507,0.7427,0.0510,0.2760,0.0751,0.2719,0.0732,0.0610,0.0073,1.2000,0.4170
combined_shift,branch_counterfactual_mpc_v5,4,20,0.2500,0.1947,0.1063,0.0252,0.7297,0.0627,0.7095,0.0647,0.7193,0.0596,0.2312,0.0736,0.2117,0.0591,0.0716,0.0078,1.2000,0.3920
combined_shift,branch_counterfactual_mpc_v5,5,20,0.3500,0.2145,0.1085,0.0286,0.7290,0.0688,0.7162,0.0675,0.7359,0.0636,0.2673,0.1012,0.2551,0.0939,0.0668,0.0100,1.1500,0.4090
combined_shift,branch_counterfactual_mpc_v5,6,20,0.4000,0.2203,0.1071,0.0267,0.7167,0.0720,0.7050,0.0633,0.7053,0.0657,0.2813,0.0771,0.2637,0.0706,0.0652,0.0069,1.0500,0.4140
combined_shift,branch_counterfactual_mpc_v5,7,20,0.4500,0.2237,0.1026,0.0341,0.7379,0.0892,0.7020,0.0494,0.7266,0.0411,0.1728,0.0724,0.1728,0.0696,0.0683,0.0098,1.3000,0.3512
combined_shift,domain_randomized_mpc,0,20,0.3500,0.2145,0.0996,0.0235,0.7486,0.0629,,,,,,,,,,,0.0000,0.0000
combined_shift,domain_randomized_mpc,1,20,0.3500,0.2145,0.1028,0.0224,0.7363,0.0560,,,,,,,,,,,0.0000,0.0000
combined_shift,domain_randomized_mpc,2,20,0.3000,0.2061,0.0906,0.0165,0.7637,0.0460,,,,,,,,,,,0.0000,0.0000
combined_shift,domain_randomized_mpc,3,20,0.5000,0.2248,0.0895,0.0277,0.7575,0.0798,,,,,,,,,,,0.0000,0.0000
combined_shift,domain_randomized_mpc,4,20,0.4000,0.2203,0.1043,0.0245,0.7284,0.0657,,,,,,,,,,,0.0000,0.0000
combined_shift,domain_randomized_mpc,5,20,0.4000,0.2203,0.0981,0.0225,0.7581,0.0487,,,,,,,,,,,0.0000,0.0000
combined_shift,domain_randomized_mpc,6,20,0.4500,0.2237,0.0879,0.0239,0.7658,0.0681,,,,,,,,,,,0.0000,0.0000
combined_shift,domain_randomized_mpc,7,20,0.4000,0.2203,0.1088,0.0269,0.7155,0.0776,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,0,20,0.2000,0.1799,0.1159,0.0229,0.7031,0.0650,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,1,20,0.4500,0.2237,0.0839,0.0270,0.7854,0.0691,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,2,20,0.3500,0.2145,0.1018,0.0246,0.7323,0.0687,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,3,20,0.5500,0.2237,0.0933,0.0266,0.7542,0.0680,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,4,20,0.5000,0.2248,0.0863,0.0226,0.7766,0.0593,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,5,20,0.4000,0.2203,0.0936,0.0260,0.7691,0.0620,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,6,20,0.3500,0.2145,0.1027,0.0250,0.7300,0.0676,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,7,20,0.4000,0.2203,0.0950,0.0254,0.7564,0.0669,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,0,20,0.2000,0.1799,0.1202,0.0204,0.6992,0.0525,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,1,20,0.2500,0.1947,0.1268,0.0269,0.6758,0.0703,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,2,20,0.3000,0.2061,0.1069,0.0252,0.7235,0.0672,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,3,20,0.2500,0.1947,0.1142,0.0258,0.6906,0.0767,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,4,20,0.2000,0.1799,0.1161,0.0239,0.6948,0.0673,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,5,20,0.3500,0.2145,0.1046,0.0266,0.7362,0.0642,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,6,20,0.2500,0.1947,0.1233,0.0235,0.6705,0.0662,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,7,20,0.3500,0.2145,0.1013,0.0262,0.7382,0.0727,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,0,20,0.3500,0.2145,0.1078,0.0235,0.7266,0.0632,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,1,20,0.5000,0.2248,0.0861,0.0281,0.7815,0.0713,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,2,20,0.3000,0.2061,0.1014,0.0246,0.7384,0.0638,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,3,20,0.3500,0.2145,0.0940,0.0216,0.7510,0.0559,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,4,20,0.3000,0.2061,0.1122,0.0296,0.7105,0.0784,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,5,20,0.5000,0.2248,0.0910,0.0265,0.7708,0.0628,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,6,20,0.3000,0.2061,0.1114,0.0234,0.6992,0.0698,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,7,20,0.3500,0.2145,0.1010,0.0235,0.7382,0.0660,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,0,20,0.0500,0.0980,0.1505,0.0264,0.6218,0.0659,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,1,20,0.2000,0.1799,0.1780,0.0540,0.5637,0.1157,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,2,20,0.1500,0.1606,0.1690,0.0439,0.5717,0.1076,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,3,20,0.1000,0.1349,0.1639,0.0286,0.5689,0.0747,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,4,20,0.1500,0.1606,0.1817,0.0538,0.5529,0.1122,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,5,20,0.2500,0.1947,0.1732,0.0388,0.5518,0.1053,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,6,20,0.1500,0.1606,0.1752,0.0406,0.5413,0.1095,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,7,20,0.1000,0.1349,0.1657,0.0381,0.5763,0.1036,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,0,20,0.4000,0.2203,0.0945,0.0257,0.7616,0.0658,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,1,20,0.4000,0.2203,0.0990,0.0241,0.7517,0.0594,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,2,20,0.5000,0.2248,0.0779,0.0206,0.7908,0.0612,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,3,20,0.5500,0.2237,0.0873,0.0268,0.7756,0.0639,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,4,20,0.4500,0.2237,0.0935,0.0270,0.7510,0.0782,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,5,20,0.4000,0.2203,0.0964,0.0240,0.7637,0.0531,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,6,20,0.3500,0.2145,0.0975,0.0235,0.7407,0.0658,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,7,20,0.4000,0.2203,0.0930,0.0275,0.7584,0.0766,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,0,20,0.3000,0.2061,0.1144,0.0249,0.7036,0.0721,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,1,20,0.3500,0.2145,0.1040,0.0294,0.7397,0.0711,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,2,20,0.2500,0.1947,0.1057,0.0231,0.7294,0.0578,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,3,20,0.4000,0.2203,0.0939,0.0256,0.7513,0.0694,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,4,20,0.3000,0.2061,0.1142,0.0272,0.7044,0.0702,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,5,20,0.4500,0.2237,0.0986,0.0268,0.7581,0.0596,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,6,20,0.4000,0.2203,0.0963,0.0263,0.7429,0.0723,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,7,20,0.5000,0.2248,0.0891,0.0263,0.7647,0.0744,,,,,,,,,,,0.0000,0.0000
contact_offset,adaptive_id_mpc,0,20,0.3500,0.2145,0.1357,0.0360,0.5902,0.1032,0.6697,0.0609,0.6874,0.0368,0.3957,0.0782,0.3670,0.0725,0.1392,0.0143,0.0000,0.0000
contact_offset,adaptive_id_mpc,1,20,0.1500,0.1606,0.1344,0.0239,0.5695,0.0789,0.6072,0.0807,0.6144,0.0508,0.2824,0.0633,0.2954,0.0562,0.1497,0.0114,0.0000,0.0000
contact_offset,adaptive_id_mpc,2,20,0.2000,0.1799,0.1305,0.0282,0.5777,0.1012,0.6902,0.0692,0.6937,0.0518,0.2869,0.0624,0.3268,0.0665,0.1373,0.0144,0.0000,0.0000
contact_offset,adaptive_id_mpc,3,20,0.3000,0.2061,0.1235,0.0260,0.5938,0.1000,0.6586,0.0556,0.6816,0.0473,0.3254,0.0690,0.3624,0.0455,0.1437,0.0108,0.0000,0.0000
contact_offset,adaptive_id_mpc,4,20,0.3000,0.2061,0.1199,0.0291,0.6222,0.0879,0.7104,0.0565,0.6761,0.0490,0.3676,0.0787,0.3811,0.0696,0.1514,0.0161,0.0000,0.0000
contact_offset,adaptive_id_mpc,5,20,0.2000,0.1799,0.1375,0.0231,0.5762,0.0797,0.7206,0.0390,0.6897,0.0335,0.3276,0.0676,0.3266,0.0565,0.1547,0.0142,0.0000,0.0000
contact_offset,adaptive_id_mpc,6,20,0.1500,0.1606,0.1392,0.0215,0.5952,0.0653,0.6014,0.0689,0.5884,0.0409,0.3439,0.0772,0.3311,0.0730,0.1766,0.0126,0.0000,0.0000
contact_offset,adaptive_id_mpc,7,20,0.2000,0.1799,0.1430,0.0302,0.5597,0.0985,0.7199,0.0564,0.6684,0.0465,0.3450,0.0771,0.3937,0.0584,0.1501,0.0160,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,0,20,0.3500,0.2145,0.1160,0.0284,0.6339,0.0901,0.6437,0.0527,0.6575,0.0604,0.3523,0.0854,0.3705,0.0649,0.1467,0.0143,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,1,20,0.2500,0.1947,0.1306,0.0252,0.5759,0.0905,0.7187,0.0516,0.6847,0.0399,0.2994,0.0628,0.3214,0.0664,0.1484,0.0113,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,2,20,0.2000,0.1799,0.1279,0.0266,0.5927,0.0904,0.6977,0.0516,0.6963,0.0445,0.3056,0.0667,0.3537,0.0577,0.1340,0.0169,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,3,20,0.3500,0.2145,0.1130,0.0297,0.6287,0.1093,0.6400,0.0671,0.6598,0.0474,0.3124,0.0723,0.3524,0.0554,0.1442,0.0146,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,4,20,0.2500,0.1947,0.1272,0.0249,0.5921,0.0783,0.6576,0.0609,0.6483,0.0560,0.3438,0.0864,0.3821,0.0767,0.1475,0.0161,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,5,20,0.1500,0.1606,0.1304,0.0244,0.5978,0.0742,0.7146,0.0481,0.6631,0.0383,0.3169,0.0567,0.3452,0.0463,0.1564,0.0100,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,6,20,0.2500,0.1947,0.1322,0.0309,0.6153,0.0931,0.6580,0.0643,0.6004,0.0616,0.3061,0.0575,0.3169,0.0579,0.1625,0.0102,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,7,20,0.3000,0.2061,0.1292,0.0324,0.6121,0.0919,0.7320,0.0381,0.6978,0.0330,0.2960,0.0644,0.3746,0.0546,0.1499,0.0137,0.0000,0.0000
contact_offset,branch_counterfactual_mpc_v5,0,20,0.3500,0.2145,0.1083,0.0282,0.6531,0.0983,0.6725,0.0459,0.6449,0.0522,0.3142,0.0793,0.3630,0.0725,0.1471,0.0108,0.6500,0.3266
contact_offset,branch_counterfactual_mpc_v5,1,20,0.3500,0.2145,0.1037,0.0238,0.6618,0.0868,0.6531,0.0727,0.6358,0.0534,0.3046,0.0827,0.3211,0.0857,0.1416,0.0117,0.5000,0.3016
contact_offset,branch_counterfactual_mpc_v5,2,20,0.3500,0.2145,0.1127,0.0327,0.6468,0.1021,0.7057,0.0496,0.6917,0.0386,0.3619,0.0725,0.3737,0.0667,0.1432,0.0103,0.9000,0.3454
contact_offset,branch_counterfactual_mpc_v5,3,20,0.3000,0.2061,0.1292,0.0281,0.5941,0.0918,0.6537,0.0638,0.6339,0.0553,0.3599,0.0605,0.4164,0.0376,0.1445,0.0134,0.7000,0.3211
contact_offset,branch_counterfactual_mpc_v5,4,20,0.3000,0.2061,0.1287,0.0295,0.5871,0.0976,0.7246,0.0539,0.7045,0.0402,0.3648,0.0655,0.3788,0.0725,0.1528,0.0110,0.8000,0.3050
contact_offset,branch_counterfactual_mpc_v5,5,20,0.3500,0.2145,0.1096,0.0324,0.6671,0.1014,0.6586,0.0647,0.6695,0.0495,0.2737,0.0644,0.2990,0.0499,0.1458,0.0142,0.7500,0.3447
contact_offset,branch_counterfactual_mpc_v5,6,20,0.0000,0.0000,0.1674,0.0207,0.5133,0.0660,0.7035,0.0489,0.6353,0.0438,0.2594,0.0657,0.3163,0.0595,0.1676,0.0102,0.4500,0.2237
contact_offset,branch_counterfactual_mpc_v5,7,20,0.1500,0.1606,0.1312,0.0247,0.5947,0.0795,0.6873,0.0551,0.6590,0.0423,0.3709,0.0731,0.4021,0.0690,0.1459,0.0135,0.5500,0.3327
contact_offset,domain_randomized_mpc,0,20,0.2500,0.1947,0.1233,0.0302,0.6183,0.0950,,,,,,,,,,,0.0000,0.0000
contact_offset,domain_randomized_mpc,1,20,0.2500,0.1947,0.1228,0.0269,0.6038,0.0919,,,,,,,,,,,0.0000,0.0000
contact_offset,domain_randomized_mpc,2,20,0.3500,0.2145,0.1097,0.0234,0.6540,0.0723,,,,,,,,,,,0.0000,0.0000
contact_offset,domain_randomized_mpc,3,20,0.4000,0.2203,0.1054,0.0301,0.6545,0.1063,,,,,,,,,,,0.0000,0.0000
contact_offset,domain_randomized_mpc,4,20,0.4500,0.2237,0.0991,0.0229,0.6798,0.0756,,,,,,,,,,,0.0000,0.0000
contact_offset,domain_randomized_mpc,5,20,0.2500,0.1947,0.1298,0.0284,0.5950,0.0988,,,,,,,,,,,0.0000,0.0000
contact_offset,domain_randomized_mpc,6,20,0.1500,0.1606,0.1207,0.0230,0.6486,0.0677,,,,,,,,,,,0.0000,0.0000
contact_offset,domain_randomized_mpc,7,20,0.3500,0.2145,0.1132,0.0274,0.6523,0.0890,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,0,20,0.4500,0.2237,0.1197,0.0351,0.6380,0.0997,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,1,20,0.2500,0.1947,0.1266,0.0282,0.6003,0.0853,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,2,20,0.1500,0.1606,0.1422,0.0308,0.5440,0.1069,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,3,20,0.1000,0.1349,0.1248,0.0189,0.6053,0.0622,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,4,20,0.2500,0.1947,0.1410,0.0305,0.5487,0.1002,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,5,20,0.1000,0.1349,0.1474,0.0299,0.5487,0.0964,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,6,20,0.1500,0.1606,0.1409,0.0260,0.5881,0.0805,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,7,20,0.5500,0.2237,0.0851,0.0255,0.7394,0.0811,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,0,20,0.4000,0.2203,0.1433,0.0404,0.5531,0.1240,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,1,20,0.3000,0.2061,0.1180,0.0287,0.6154,0.0964,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,2,20,0.3500,0.2145,0.1070,0.0204,0.6587,0.0647,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,3,20,0.1500,0.1606,0.1354,0.0272,0.5703,0.0822,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,4,20,0.4000,0.2203,0.1083,0.0275,0.6524,0.0886,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,5,20,0.2500,0.1947,0.1133,0.0257,0.6504,0.0821,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,6,20,0.2500,0.1947,0.1183,0.0284,0.6532,0.0858,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,7,20,0.3000,0.2061,0.1228,0.0324,0.6265,0.0955,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,0,20,0.3000,0.2061,0.1138,0.0281,0.6490,0.0847,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,1,20,0.5000,0.2248,0.0968,0.0307,0.6795,0.1098,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,2,20,0.3500,0.2145,0.1057,0.0290,0.6637,0.0902,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,3,20,0.3000,0.2061,0.1348,0.0290,0.5753,0.0972,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,4,20,0.3000,0.2061,0.1189,0.0268,0.6230,0.0794,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,5,20,0.2500,0.1947,0.1367,0.0298,0.5817,0.0916,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,6,20,0.4500,0.2237,0.0930,0.0297,0.7352,0.0847,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,7,20,0.3000,0.2061,0.1349,0.0322,0.5861,0.0990,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,0,20,0.3000,0.2061,0.1175,0.0276,0.6264,0.0977,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,1,20,0.1000,0.1349,0.1443,0.0230,0.5349,0.0827,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,2,20,0.2500,0.1947,0.1238,0.0249,0.6057,0.0839,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,3,20,0.1000,0.1349,0.1264,0.0185,0.6005,0.0613,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,4,20,0.3000,0.2061,0.1348,0.0319,0.5765,0.1040,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,5,20,0.4000,0.2203,0.0972,0.0236,0.7032,0.0729,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,6,20,0.1000,0.1349,0.1421,0.0276,0.5883,0.0797,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,7,20,0.6000,0.2203,0.0910,0.0269,0.7285,0.0793,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,0,20,0.3500,0.2145,0.1077,0.0238,0.6616,0.0761,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,1,20,0.2500,0.1947,0.1234,0.0279,0.6060,0.0932,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,2,20,0.3500,0.2145,0.1250,0.0305,0.6017,0.0988,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,3,20,0.4000,0.2203,0.1096,0.0311,0.6366,0.1097,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,4,20,0.2500,0.1947,0.1339,0.0281,0.5767,0.0846,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,5,20,0.2500,0.1947,0.1313,0.0297,0.5934,0.1017,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,6,20,0.2000,0.1799,0.1376,0.0234,0.6025,0.0671,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,7,20,0.4000,0.2203,0.1239,0.0356,0.6205,0.1074,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_worst_case_mpc,0,20,0.3500,0.2145,0.1196,0.0301,0.6402,0.0810,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_worst_case_mpc,1,20,0.3000,0.2061,0.1203,0.0284,0.6079,0.1000,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_worst_case_mpc,2,20,0.3000,0.2061,0.1275,0.0322,0.6072,0.0942,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_worst_case_mpc,3,20,0.2500,0.1947,0.1264,0.0226,0.6030,0.0712,,,,,,,,,,,0.0000,0.0000
